Nom de l'établissement,Note,Nombre d'avis,Catégorie,Adresse / résumé,Ville,Activité,URL Google Maps
Appart Hôtel - Residhome Toulouse Tolosa,4.2,,SponsoriséPar Booking.com,,Saint-Élie+France,Hôtel avec spa,https://www.google.com/maps/place/Appart+H%C3%B4tel+-+Residhome+Toulouse+Tolosa/data=!4m10!3m9!1s0x12aebae6db181659:0x9234a3e9a890dce3!5m2!4m1!1i2!8m2!3d43.606879!4d1.399208!16s%2Fg%2F1vyr7wxn!19sChIJWRYY2-a6rhIR49yQqOmjNJI?authuser=0&hl=fr&rclk=1
Gîtes & Spa YaKa & Yapluka,4.4,,Gîtes & Spa YaKa & Yapluka,,Monestier-d'Ambel+France,Hôtel avec spa,https://www.google.com/maps/place/G%C3%AEtes+%26+Spa+YaKa+%26+Yapluka/data=!4m10!3m9!1s0x12cb3545e01f5a51:0x455e87fd2463fefc!5m2!4m1!1i2!8m2!3d44.7812457!4d5.9932953!16s%2Fg%2F11w7hg36kc!19sChIJUVof4EU1yxIR_P5jJP2HXkU?authuser=0&hl=fr&rclk=1
Gîte Le Maréva,5.0,,Gîte Le Maréva,,Monestier-d'Ambel+France,Hôtel avec spa,https://www.google.com/maps/place/G%C3%AEte+Le+Mar%C3%A9va/data=!4m10!3m9!1s0x12cb3a61606d4f07:0xc0a127b8f4b4f368!5m2!4m1!1i2!8m2!3d44.6820244!4d5.9449317!16s%2Fg%2F11f54lj9rk!19sChIJB09tYGE6yxIRaPO09LgnocA?authuser=0&hl=fr&rclk=1
Hôtel Vol de Nuit,3.8,,SponsoriséPar Booking.com,,Saint-Élie+France,Hôtel avec spa,https://www.google.com/maps/place/H%C3%B4tel+Vol+de+Nuit/data=!4m10!3m9!1s0x12aebae7a4ccd2e9:0x91d9c863285494b7!5m2!4m1!1i2!8m2!3d43.608226!4d1.39698!16s%2Fg%2F12hpgqq8c!19sChIJ6dLMpOe6rhIRt5RUKGPI2ZE?authuser=0&hl=fr&rclk=1
Résidence Odalys L'Orée des Pistes,3.6,,Résidence Odalys L'Orée des Pistes,,Monestier-d'Ambel+France,Hôtel avec spa,https://www.google.com/maps/place/R%C3%A9sidence+Odalys+L%27Or%C3%A9e+des+Pistes/data=!4m10!3m9!1s0x12cb3a7e25f44cc9:0x5fda2a98ff4ee77b!5m2!4m1!1i2!8m2!3d44.6731084!4d5.9318196!16s%2Fg%2F1td08v05!19sChIJyUz0JX46yxIRe-dO_5gq2l8?authuser=0&hl=fr&rclk=1
Grand Hotel & Spa Uriage,4.4,,SponsoriséPar Booking.com,,Brié-et-Angonnes+France,Hôtel avec spa,https://www.google.com/maps/place/Grand+Hotel+%26+Spa+Uriage/data=!4m10!3m9!1s0x478a607d69ad3775:0xeed092fecd85291f!5m2!4m1!1i2!8m2!3d45.142739!4d5.829873!16s%2Fg%2F1tfcxpwk!19sChIJdTetaX1gikcRHymFzf6S0O4?authuser=0&hl=fr&rclk=1
Château Hôtel Grand Barrail,4.5,,Château Hôtel Grand Barrail,,Saint-Élie+France,Hôtel avec spa,https://www.google.com/maps/place/Ch%C3%A2teau+H%C3%B4tel+Grand+Barrail/data=!4m10!3m9!1s0xd5551d90ddd983b:0x31a768665a235b9c!5m2!4m1!1i2!8m2!3d44.909105!4d-0.1919349!16s%2Fg%2F12hqjmqhf!19sChIJO5jdDdlRVQ0RnFsjWmZopzE?authuser=0&hl=fr&rclk=1
Les cabanes de Monbazillac,4.9,,Les cabanes de Monbazillac,,Monestier+France,Hôtel avec spa,https://www.google.com/maps/place/Les+cabanes+de+Monbazillac/data=!4m10!3m9!1s0x12aadb6de851ccc3:0xb38db81c89588ecb!5m2!4m1!1i2!8m2!3d44.795657!4d0.4644109!16s%2Fg%2F11rg33kldc!19sChIJw8xR6G3bqhIRy45YiRy4jbM?authuser=0&hl=fr&rclk=1
Gîte de La Jarjatte - Valgabondage,4.9,,Gîte de La Jarjatte - Valgabondage,,Monestier-d'Ambel+France,Hôtel avec spa,https://www.google.com/maps/place/G%C3%AEte+de+La+Jarjatte+-+Valgabondage/data=!4m10!3m9!1s0x12cb27a40d3d9a9b:0xdffb65846808d3f7!5m2!4m1!1i2!8m2!3d44.6740176!4d5.7568259!16s%2Fg%2F1wcj_ngc!19sChIJm5o9DaQnyxIR99MIaIRl-98?authuser=0&hl=fr&rclk=1
Hôtel Chais Monnet & Spa,4.5,,SponsoriséPar Booking.com,,Brie-sous-Archiac+France,Hôtel avec spa,https://www.google.com/maps/place/H%C3%B4tel+Chais+Monnet+%26+Spa/data=!4m10!3m9!1s0x4800f36dce60790b:0xca175bed9674241e!5m2!4m1!1i2!8m2!3d45.690785!4d-0.333756!16s%2Fg%2F11f1wqb_yc!19sChIJC3lgzm3zAEgRHiR0lu1bF8o?authuser=0&hl=fr&rclk=1
